"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2023,"Holy Cross",46.0127591706539,317,19.7722891367748,237,23.1155778894472,323,25.1993620414673,312
2023,"Houston",53.905325443787,52,16.0756108039191,36,38.2845188284519,5,24.1420118343195,325
2023,"Houston Christian",50.3367003367003,160,23.1488450666533,349,27.7008310249307,215,29.4612794612795,214
2023,"Howard",47.3618090452261,281,22.8969763270706,346,28.7169042769857,182,27.7638190954774,255
2023,"IUPUI",46.2648556876061,310,23.6588080878566,351,25,284,28.6926994906621,230
2023,"Idaho",54.2197452229299,44,18.6174366663543,158,21.1267605633803,346,33.9171974522293,110
2023,"Idaho St.",49.7063142437592,187,18.8627913303709,175,24.3436754176611,304,26.2848751835536,291
2023,"Illinois",54.1025641025641,47,21.0632695938938,295,35.7456140350877,22,33.3333333333333,122
2023,"Illinois Chicago",49.358059914408,207,19.1329351913294,192,22.0043572984749,338,39.0870185449358,35
2023,"Illinois St.",49.6657754010695,189,21.6764174597611,316,31.350114416476,111,32.2192513368984,154
2023,"Incarnate Word",45.3180212014134,326,22.7223388088863,343,28.169014084507,202,25.7950530035336,299
2023,"Indiana",56.6623544631307,10,17.443503775388,82,28.8461538461538,180,30.6597671410091,180
2023,"Indiana St.",55.4916985951469,23,17.3750195078812,79,22.7064220183486,329,30.2681992337165,190
2023,"Iona",52.1739130434783,90,15.9914140059029,29,29.1576673866091,174,23.3091787439614,338
2023,"Iowa",50.5382775119617,150,14.0021480568042,4,32.421875,87,35.2870813397129,77
2023,"Iowa St.",51.5384615384615,114,18.9946956302096,182,32.8042328042328,77,24.9230769230769,313
2023,"Jackson St.",46.558197747184,299,24.5739934063315,357,33.8056680161943,49,22.1526908635795,348
2023,"Jacksonville",49.5085995085995,196,21.9378427787934,325,24.5901639344262,297,23.0958230958231,341
2023,"Jacksonville St.",50,170,20.0611352113192,254,28.3236994219653,197,29.0265486725664,221
2023,"James Madison",54.6829971181556,35,19.4809957605363,219,34.5864661654135,34,39.0489913544669,36
2023,"Kansas",54.2780748663102,41,17.3170235639364,73,31.7307692307692,102,25.8021390374332,298
2023,"Kansas St.",52.801724137931,72,19.7139079216252,232,33.5012594458438,59,33.3333333333333,122
2023,"Kennesaw St.",49.4495412844037,202,19.9261858444085,244,25.4237288135593,271,35.4128440366973,75
2023,"Kent St.",49.1741741741742,213,17.4582134428244,84,26.1845386533666,256,26.7267267267267,279
2023,"Kentucky",52.7962716378162,73,17.7423195999047,104,37.9545454545455,6,29.8268974700399,198
2023,"LIU",44.1558441558442,343,23.9807427368931,354,22.7272727272727,328,36.2012987012987,61
2023,"LSU",52.3035230352304,87,18.5575706452973,154,29.9539170506912,160,32.2493224932249,151
2023,"La Salle",47.4903474903475,276,18.2269639007886,136,26.4462809917355,248,28.1853281853282,243
2023,"Lafayette",50.0713266761769,169,18.7522538766679,169,22.5806451612903,333,21.8259629101284,351
2023,"Lamar",45.2145214521452,328,20.8754088398777,286,32.6259946949602,81,23.4323432343234,333
2023,"Lehigh",48.9151873767258,224,21.5932752371404,312,20.3883495145631,350,26.6272189349112,282
2023,"Liberty",56.1976549413735,14,18.193905041811,133,23.342939481268,320,24.1206030150754,326
2023,"Lindenwood",45.2932098765432,327,21.0193772383916,293,22.6950354609929,330,24.8456790123457,315
2023,"Lipscomb",53.1613976705491,64,18.0245133381399,120,27.810650887574,211,20.6322795341098,354
2023,"Little Rock",47.8021978021978,267,18.8525643772227,174,29.9776286353468,156,34.6153846153846,88
2023,"Long Beach St.",48.5611510791367,238,18.6187956742331,160,33.3333333333333,62,29.2086330935252,218
2023,"Longwood",50.5571030640669,149,17.2211350293542,65,32.9493087557604,69,33.4261838440111,119
2023,"Louisiana",52.3102310231023,85,17.9132457343216,115,32.6530612244898,79,32.6732673267327,139
2023,"Louisiana Monroe",43.3057851239669,349,21.2716455612058,302,28.463476070529,191,35.5371900826446,73
2023,"Louisiana Tech",52.8350515463918,70,21.2205246568028,301,29.6969696969697,163,30.9278350515464,175
2023,"Louisville",45.6231454005935,321,23.8204052238703,353,24.6511627906977,294,36.7952522255193,54
2023,"Loyola Chicago",54.48,38,25.0722054937627,359,28.2548476454294,201,29.76,205
2023,"Loyola MD",49.6598639455782,191,22.8659818080939,345,25.8666666666667,262,28.5714285714286,232
2023,"Loyola Marymount",53.4400948991696,59,17.4802652352384,86,28.6008230452675,185,28.7069988137604,229
2023,"Maine",51.3643659711075,119,19.9430199430199,247,24.3767313019391,303,19.422150882825,360
2023,"Manhattan",50.2586206896552,162,20.1960408795724,257,24.7126436781609,291,29.6551724137931,207
2023,"Marist",47.3186119873817,282,18.0433787244145,122,25.1231527093596,281,24.4479495268139,321
2023,"Marquette",56.6897347174164,9,15.8269845170804,26,26.3598326359833,251,28.4890426758939,236
2023,"Marshall",52.7533039647577,75,15.691887665169,22,37.6218323586745,8,18.5022026431718,361
2023,"Maryland",53.3012379642366,61,17.4368409878989,81,30.5489260143198,138,38.3768913342503,41
2023,"Maryland Eastern Shore",45.324881141046,325,20.4858743909942,275,26.1964735516373,255,24.2472266244057,323
2023,"Massachusetts",46.7032967032967,295,20.0954829232464,255,33.7690631808279,50,32.5549450549451,144
2023,"McNeese St.",46.0725075528701,315,25.6248363798759,362,30.8558558558559,128,25.9818731117825,296
2023,"Memphis",51.5826494724502,111,18.6525714425225,162,32.9875518672199,68,34.232121922626,102
2023,"Mercer",53.8520801232666,54,18.7558612066271,170,29.0858725761773,176,33.2819722650231,125
2023,"Merrimack",42.026825633383,356,22.0997621997238,329,16.3716814159292,363,28.6140089418778,231
2023,"Miami FL",54.2199488491049,43,16.8298224453732,58,33.7209302325581,52,27.7493606138107,256
2023,"Miami OH",50.7922535211268,139,20.4679394431309,273,27.1641791044776,229,32.5704225352113,142
2023,"Michigan",51.5172413793103,116,13.2342732227523,2,24.0825688073394,310,33.6551724137931,117
2023,"Michigan St.",50.2124645892351,163,16.6307265083231,51,28.2608695652174,200,23.7960339943343,329
2023,"Middle Tennessee",51.1146496815287,129,18.8766418058214,176,32.5,84,33.7579617834395,115
2023,"Milwaukee",52.0499108734403,95,24.3650557490679,356,30.8157099697885,130,29.7682709447415,203
2023,"Minnesota",48.9891135303266,220,20.4033139544094,270,28.4688995215311,189,34.6811819595645,87
2023,"Mississippi",49.203187250996,211,19.9555587413089,248,36.784140969163,15,30.9428950863214,174
2023,"Mississippi St.",48.0211081794195,257,19.2492781520693,198,36.9834710743802,13,32.1899736147757,156
2023,"Mississippi Valley St.",41.2219101123596,360,26.1158086267794,363,27.9352226720648,207,34.2696629213483,98
2023,"Missouri",58.9435774309724,2,16.5415282821364,50,31.2785388127854,113,27.4909963985594,263
2023,"Missouri St.",50.6736526946108,144,18.1209248143414,127,29.5843520782396,168,26.1976047904192,294
2023,"Monmouth",43.2345360824742,352,24.0516855370051,355,29.7087378640777,162,33.1185567010309,130
2023,"Montana",53.001579778831,66,18.0174464710547,119,24.7252747252747,290,34.1232227488152,103
2023,"Montana St.",50.6088280060883,146,20.1323066258797,256,26.9430051813472,234,34.2465753424658,99
2023,"Morehead St.",45.1335877862595,331,21.2048192771084,300,25.9475218658892,260,37.4045801526718,48
2023,"Morgan St.",46.3523131672598,306,21.6647233610411,315,30.8571428571429,127,23.6654804270463,330
2023,"Mount St. Mary's",47.503671071953,275,21.0725297881901,297,32.0093457943925,93,27.6064610866373,259
2023,"Murray St.",48.8148148148148,227,17.7772366138017,111,28.4688995215311,189,35.7037037037037,71
2023,"N.C. State",53.6117381489842,56,15.5686680555382,19,31.7554240631164,101,28.5553047404063,233
2023,"NJIT",46.2732919254658,309,17.3130084511492,72,23.2227488151659,322,36.4906832298137,56
2023,"Navy",55.0702028081123,30,19.2376566896905,195,30.7042253521127,135,18.408736349454,362
2023,"Nebraska",49.8154981549815,185,19.5073349152454,222,31.9755600814664,95,26.8142681426814,274
2023,"Nebraska Omaha",48.0164158686731,258,20.4030715493582,269,25.1141552511416,282,28.7277701778386,227
2023,"Nevada",49.4964028776978,198,15.4367843816064,18,22.2988505747126,335,43.3093525179856,13
2023,"New Hampshire",43.2773109243698,350,16.0549168182756,33,26.8170426065163,238,24.2016806722689,324
2023,"New Mexico",53.960396039604,50,16.0049944663583,30,30.5210918114144,139,45.6859971711457,10
2023,"New Mexico St.",52.1331058020478,91,17.5898999929073,97,27.5568181818182,223,32.5938566552901,141
2023,"New Orleans",48.2035928143713,253,25.5275503808239,361,25.0836120401338,283,28.5429141716567,234
2023,"Niagara",48.1024667931689,255,19.5682559403634,224,26.7741935483871,241,30.1707779886148,192
2023,"Nicholls St.",47.0323741007194,290,19.9606614700954,249,23.6311239193084,315,28.7769784172662,226
2023,"Norfolk St.",51.0655737704918,131,18.6524617505403,161,28.8951841359773,177,29.5081967213115,212
2023,"North Alabama",49.4836488812392,200,17.5106815157246,88,24.6458923512748,295,34.9397590361446,83
2023,"North Carolina",51.2055837563452,126,15.7911823907538,24,30,154,43.5279187817259,12
2023,"North Carolina A&T",47.092084006462,287,19.0750583676916,189,23.4210526315789,318,28.1098546042003,245
2023,"North Carolina Central",51.3020833333333,121,20.7324265875498,280,26.7477203647416,243,25.3472222222222,307
2023,"North Dakota",51.0687022900763,130,21.8146688065818,320,30.126582278481,151,28.8549618320611,225
2023,"North Dakota St.",48.3823529411765,242,18.8213288910321,173,22.0140515222482,337,33.6764705882353,116
