TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
Georgetown,70.1163,116,70.0162,119,105.199,107,106.141,91,108.575,297,106.279,262,-0.138764,169
Georgia,68.2788,207,67.7942,228,104.539,118,103.18,154,93.3919,53,96.9749,77,6.20533,106
Georgia Southern,66.1864,290,66.4086,282,96.582,267,95.6494,314,99.2372,130,100.643,137,-4.99316,233
Georgia St.,67.0357,261,66.0463,296,92.9598,316,94.7418,326,96.9656,99,100.592,136,-5.85021,241
Georgia Tech,69.0716,168,68.3673,198,102.195,167,103.23,152,99.637,136,99.0507,109,4.17979,117
Gonzaga,72.9721,30,71.7577,47,112.832,24,117.649,4,101.276,162,95.2883,59,22.3603,11
Grambling St.,68.8025,178,69.9552,121,91.3768,330,94.2674,332,94.8251,72,99.5854,123,-5.31794,236
Grand Canyon,64.2237,346,65.5187,310,101.144,188,103.384,147,95.4078,82,98.0966,91,5.28706,111
Green Bay,66.6795,274,67.2398,250,86.5911,355,89.6883,355,112.395,334,112.017,352,-22.3283,358
Hampton,71.6427,59,71.2318,58,94.4795,304,95.7913,311,112.965,339,111.174,342,-15.3829,338
Hartford,67.426,247,67.6654,233,84.8976,357,85.6214,362,112.513,335,111.981,350,-26.3591,362
Harvard,67.7328,229,67.2474,249,97.0262,254,98.0464,261,94.4813,66,98.8914,104,-0.845012,178
Hawaii,65.1319,320,65.728,303,103.945,128,100.937,200,92.1902,42,97.4387,87,3.49799,124
High Point,74.7318,11,74.5093,9,103.45,139,100.852,205,104.19,222,103.687,208,-2.83426,206
Hofstra,68.9152,174,69.1781,152,103.021,153,107.686,66,106.382,266,103.951,219,3.73534,122
Holy Cross,68.967,172,68.3102,203,89.884,340,91.2228,350,106.929,277,108.982,310,-17.7588,348
Houston,64.4277,340,63.9731,344,117.152,4,113.959,13,77.5807,2,82.332,2,31.6268,1
Houston Christian,74.7337,10,71.6963,50,95.8374,285,98.3466,255,122.022,363,116.26,363,-17.9132,349
Howard,70.1902,111,69.1088,156,92.6405,319,95.8834,310,106.564,271,104.707,232,-8.82328,279
Idaho,66.6937,273,66.7567,268,105.642,101,100.349,213,107.623,286,111.584,349,-11.2356,308
Idaho St.,67.5707,238,66.5602,277,98.1394,242,96.0766,304,102.557,192,105.263,244,-9.18682,284
Illinois,71.6227,60,71.0331,66,107.421,74,109.083,51,88.9098,21,91.9597,28,17.1237,30
Illinois Chicago,69.5538,140,70.5824,86,96.8077,258,95.893,309,98.0755,110,102.454,171,-6.56129,252
Illinois St.,65.6943,308,65.456,313,100.428,204,98.4948,254,103.006,198,105.109,241,-6.61411,254
Incarnate Word,69.095,165,67.6491,236,89.4491,343,91.1586,351,105.286,247,110.094,327,-18.9352,354
